trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
121,False,"{'a': 0.33, 'e': 0.049787068367863944}",25,19,10.219198963338538,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.33, 'e': 0.048557821270009946}",30,2,44.58882861372125,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.33, 'e': 0.04735892439114091}",25,6,31.057277537424362,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.33, 'e': 0.0461896283816801}",25,5,36.42471672043899,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.33, 'e': 0.0450492023935578}",20,0,31.686337022097792,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
126,False,"{'a': 0.33, 'e': 0.04393693362340742}",20,16,8.353570350171946,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.33, 'e': 0.042852126867040166}",20,11,17.88841987484615,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.33, 'e': 0.041794104084919896}",25,13,19.045203603079287,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.33, 'e': 0.04076220397836621}",20,0,29.17586426234866,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
130,False,"{'a': 0.33, 'e': 0.039755781576221304}",35,3,51.44456308330061,"{0: 32, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.33, 'e': 0.03877420783172201}",20,0,27.58900437057374,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.33, 'e': 0.03781686922932507}",25,20,7.298750869669448,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.33, 'e': 0.036883167401239994}",20,12,12.11238519098926,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.33, 'e': 0.035972518753429654}",30,5,35.34392065643373,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.33, 'e': 0.035084354100845025}",20,14,12.66763685809144,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
